"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
10,1.75,1.53125,1.09974176955683,0.343446852595627,2.08419354481714
10,2,2,1.64098625187847,0.78140680848166,2.71642891039629
10,2.25,2.53125,2.56901419727229,1.03283385906963,4.51923110453002
10,2.5,3.125,3.3992775420438,1.53673145620511,5.75141730063006
10,2.75,3.78125,5.43678026457254,2.85193622396869,8.24352520484431
10,3,4.5,4.55081957997206,2.09058776216216,7.13220166851881
10,3.25,5.28125,5.00382960450521,2.46850008705,7.76089793260843
10,3.5,6.125,5.34625457101717,2.85418356288501,8.18910339529837
10,3.75,7.03125,6.41190893871805,3.37891113822024,10.0690415490749
10,4,8,8.42327152483524,4.72024513400758,13.1649566809874
10,4.25,9.03125,7.92396823871659,4.37252461617632,12.3418352482291
10,4.5,10.125,10.0722487944771,5.35327879200149,15.5084669765428
10,4.75,11.28125,11.3632673720041,6.48291517343093,16.8705920482848
10,5,12.5,12.1896978744623,6.74432354660557,18.201703965815
10,5.25,13.78125,13.4082821423856,7.39917711018302,19.5983201674232
10,5.5,15.125,15.8527208424074,8.74679045849694,23.718823777829
10,5.75,16.53125,16.4212792936458,9.69536621380684,25.4090619119762
10,6,18,16.4469889991645,9.09758122357474,24.3499573301922
10,6.25,19.53125,18.1291172986473,10.2953647642321,27.2008773598051
10,6.5,21.125,20.5810354716027,11.8325794212926,30.824297731419
10,6.75,22.78125,24.0444781661374,13.8979628939025,36.2059497184778
10,7,24.5,26.3740661909437,16.0633008050773,40.0568534486251
10,7.25,26.28125,26.1100845109139,14.6702077271468,38.5168578786322
10,7.5,28.125,28.3134177627054,16.3177508398409,42.1556882146866
10,7.75,30.03125,29.6298883914156,16.4103944265895,44.6215753375664
10,8,32,30.1488402502801,17.2583612470558,44.0538969078125
10,8.25,34.03125,35.8885603300077,20.3404837574086,54.986039449584
10,8.5,36.125,35.5774488388546,20.7066081085674,52.9073499023941
10,8.75,38.28125,36.1438484516666,20.1758243036899,53.5695384595314
10,9,40.5,39.829160400295,22.7759386672409,58.5272857539942
10,9.25,42.78125,43.7702517652487,25.753999243116,63.8903578394507
10,9.5,45.125,46.8620222002696,28.2030655426174,68.7443627110235
10,9.75,47.53125,45.6473189156404,26.7126805717639,66.9066010219625
10,10,50,48.9112477237445,29.5811876543494,74.3611973452849
11,1,0.5,1.0262675478164,0.16247510425663,1.99227053790753
11,1.25,0.78125,0.719252581431011,0.0113028146051037,1.50397316855819
11,1.5,1.125,1.01257962742908,0.306123228909563,1.82560711191736
11,1.75,1.53125,0.690056628109418,0.162471097729502,1.3371167938845
